i0,if,y0,z0,yf,zf
9,33,0.5,-9.526315789473685,1.5,-5.315789473684211
9,69,0.5,-9.526315789473685,3.5,-9.526315789473685
9,71,0.5,-9.526315789473685,3.5,-7.421052631578949
9,85,0.5,-9.526315789473685,4.5,-13.736842105263158
9,86,0.5,-9.526315789473685,4.5,-12.68421052631579
10,15,0.5,-8.473684210526317,0.5,-3.2105263157894743
10,55,0.5,-8.473684210526317,2.5,-3.2105263157894743
10,70,0.5,-8.473684210526317,3.5,-8.473684210526317
10,72,0.5,-8.473684210526317,3.5,-6.368421052631579
10,74,0.5,-8.473684210526317,3.5,-4.2631578947368425
11,29,0.5,-7.421052631578949,1.5,-9.526315789473685
11,71,0.5,-7.421052631578949,3.5,-7.421052631578949
11,92,0.5,-7.421052631578949,4.5,-6.368421052631579
11,94,0.5,-7.421052631578949,4.5,-4.2631578947368425
12,28,0.5,-6.368421052631579,1.5,-10.578947368421053
12,49,0.5,-6.368421052631579,2.5,-9.526315789473685
12,68,0.5,-6.368421052631579,3.5,-10.578947368421053
12,90,0.5,-6.368421052631579,4.5,-8.473684210526317
12,92,0.5,-6.368421052631579,4.5,-6.368421052631579
13,12,0.5,-5.315789473684211,0.5,-6.368421052631579
13,49,0.5,-5.315789473684211,2.5,-9.526315789473685
13,50,0.5,-5.315789473684211,2.5,-8.473684210526317
14,90,0.5,-4.2631578947368425,4.5,-8.473684210526317
15,93,0.5,-3.2105263157894743,4.5,-5.315789473684211
20,3,1.5,-19.0,0.5,-15.842105263157894
20,24,1.5,-19.0,1.5,-14.789473684210527
20,42,1.5,-19.0,2.5,-16.894736842105264
20,84,1.5,-19.0,4.5,-14.789473684210527
21,1,1.5,-17.94736842105263,0.5,-17.94736842105263
21,4,1.5,-17.94736842105263,0.5,-14.789473684210527
21,20,1.5,-17.94736842105263,1.5,-19.0
21,42,1.5,-17.94736842105263,2.5,-16.894736842105264
21,46,1.5,-17.94736842105263,2.5,-12.68421052631579
21,64,1.5,-17.94736842105263,3.5,-14.789473684210527
21,81,1.5,-17.94736842105263,4.5,-17.94736842105263
21,83,1.5,-17.94736842105263,4.5,-15.842105263157894
21,85,1.5,-17.94736842105263,4.5,-13.736842105263158
