i0,if,y0,z0,yf,zf
13,65,0.5,-5.315789473684211,3.5,-13.736842105263158
14,85,0.5,-4.2631578947368425,4.5,-13.736842105263158
14,88,0.5,-4.2631578947368425,4.5,-10.578947368421053
14,90,0.5,-4.2631578947368425,4.5,-8.473684210526317
15,93,0.5,-3.2105263157894743,4.5,-5.315789473684211
20,3,1.5,-19.0,0.5,-15.842105263157894
20,9,1.5,-19.0,0.5,-9.526315789473685
20,24,1.5,-19.0,1.5,-14.789473684210527
20,39,1.5,-19.0,1.5,1.0
20,42,1.5,-19.0,2.5,-16.894736842105264
20,48,1.5,-19.0,2.5,-10.578947368421053
20,75,1.5,-19.0,3.5,-3.2105263157894743
20,77,1.5,-19.0,3.5,-1.1052631578947363
20,84,1.5,-19.0,4.5,-14.789473684210527
20,86,1.5,-19.0,4.5,-12.68421052631579
20,88,1.5,-19.0,4.5,-10.578947368421053
21,1,1.5,-17.94736842105263,0.5,-17.94736842105263
21,4,1.5,-17.94736842105263,0.5,-14.789473684210527
21,20,1.5,-17.94736842105263,1.5,-19.0
21,27,1.5,-17.94736842105263,1.5,-11.631578947368421
21,34,1.5,-17.94736842105263,1.5,-4.2631578947368425
21,42,1.5,-17.94736842105263,2.5,-16.894736842105264
21,46,1.5,-17.94736842105263,2.5,-12.68421052631579
21,48,1.5,-17.94736842105263,2.5,-10.578947368421053
21,50,1.5,-17.94736842105263,2.5,-8.473684210526317
21,55,1.5,-17.94736842105263,2.5,-3.2105263157894743
21,64,1.5,-17.94736842105263,3.5,-14.789473684210527
21,81,1.5,-17.94736842105263,4.5,-17.94736842105263
21,83,1.5,-17.94736842105263,4.5,-15.842105263157894
21,85,1.5,-17.94736842105263,4.5,-13.736842105263158
21,90,1.5,-17.94736842105263,4.5,-8.473684210526317
21,96,1.5,-17.94736842105263,4.5,-2.157894736842106
22,0,1.5,-16.894736842105264,0.5,-19.0
22,6,1.5,-16.894736842105264,0.5,-12.68421052631579
22,9,1.5,-16.894736842105264,0.5,-9.526315789473685
22,27,1.5,-16.894736842105264,1.5,-11.631578947368421
22,28,1.5,-16.894736842105264,1.5,-10.578947368421053
22,34,1.5,-16.894736842105264,1.5,-4.2631578947368425
22,38,1.5,-16.894736842105264,1.5,-0.05263157894736992
22,42,1.5,-16.894736842105264,2.5,-16.894736842105264
22,43,1.5,-16.894736842105264,2.5,-15.842105263157894
22,53,1.5,-16.894736842105264,2.5,-5.315789473684211
22,59,1.5,-16.894736842105264,2.5,1.0
22,61,1.5,-16.894736842105264,3.5,-17.94736842105263
22,62,1.5,-16.894736842105264,3.5,-16.894736842105264
22,63,1.5,-16.894736842105264,3.5,-15.842105263157894
22,68,1.5,-16.894736842105264,3.5,-10.578947368421053
22,69,1.5,-16.894736842105264,3.5,-9.526315789473685
22,83,1.5,-16.894736842105264,4.5,-15.842105263157894
22,90,1.5,-16.894736842105264,4.5,-8.473684210526317
22,92,1.5,-16.894736842105264,4.5,-6.368421052631579
22,95,1.5,-16.894736842105264,4.5,-3.2105263157894743
22,97,1.5,-16.894736842105264,4.5,-1.1052631578947363
22,99,1.5,-16.894736842105264,4.5,1.0
23,1,1.5,-15.842105263157894,0.5,-17.94736842105263
23,2,1.5,-15.842105263157894,0.5,-16.894736842105264
23,4,1.5,-15.842105263157894,0.5,-14.789473684210527
23,12,1.5,-15.842105263157894,0.5,-6.368421052631579
23,19,1.5,-15.842105263157894,0.5,1.0
23,20,1.5,-15.842105263157894,1.5,-19.0
23,22,1.5,-15.842105263157894,1.5,-16.894736842105264
23,25,1.5,-15.842105263157894,1.5,-13.736842105263158
23,32,1.5,-15.842105263157894,1.5,-6.368421052631579
23,37,1.5,-15.842105263157894,1.5,-1.1052631578947363
23,49,1.5,-15.842105263157894,2.5,-9.526315789473685
23,53,1.5,-15.842105263157894,2.5,-5.315789473684211
23,57,1.5,-15.842105263157894,2.5,-1.1052631578947363
23,63,1.5,-15.842105263157894,3.5,-15.842105263157894
23,65,1.5,-15.842105263157894,3.5,-13.736842105263158
23,69,1.5,-15.842105263157894,3.5,-9.526315789473685
23,80,1.5,-15.842105263157894,4.5,-19.0
23,83,1.5,-15.842105263157894,4.5,-15.842105263157894
23,89,1.5,-15.842105263157894,4.5,-9.526315789473685
24,47,1.5,-14.789473684210527,2.5,-11.631578947368421
24,55,1.5,-14.789473684210527,2.5,-3.2105263157894743
24,76,1.5,-14.789473684210527,3.5,-2.157894736842106
24,82,1.5,-14.789473684210527,4.5,-16.894736842105264
24,83,1.5,-14.789473684210527,4.5,-15.842105263157894
24,84,1.5,-14.789473684210527,4.5,-14.789473684210527
24,87,1.5,-14.789473684210527,4.5,-11.631578947368421
24,93,1.5,-14.789473684210527,4.5,-5.315789473684211
24,95,1.5,-14.789473684210527,4.5,-3.2105263157894743
25,28,1.5,-13.736842105263158,1.5,-10.578947368421053
25,29,1.5,-13.736842105263158,1.5,-9.526315789473685
25,45,1.5,-13.736842105263158,2.5,-13.736842105263158
25,53,1.5,-13.736842105263158,2.5,-5.315789473684211
25,61,1.5,-13.736842105263158,3.5,-17.94736842105263
25,62,1.5,-13.736842105263158,3.5,-16.894736842105264
25,65,1.5,-13.736842105263158,3.5,-13.736842105263158
25,70,1.5,-13.736842105263158,3.5,-8.473684210526317
25,73,1.5,-13.736842105263158,3.5,-5.315789473684211
25,81,1.5,-13.736842105263158,4.5,-17.94736842105263
25,82,1.5,-13.736842105263158,4.5,-16.894736842105264
25,84,1.5,-13.736842105263158,4.5,-14.789473684210527
26,14,1.5,-12.68421052631579,0.5,-4.2631578947368425
26,22,1.5,-12.68421052631579,1.5,-16.894736842105264
26,40,1.5,-12.68421052631579,2.5,-19.0
26,43,1.5,-12.68421052631579,2.5,-15.842105263157894
26,62,1.5,-12.68421052631579,3.5,-16.894736842105264
26,64,1.5,-12.68421052631579,3.5,-14.789473684210527
26,69,1.5,-12.68421052631579,3.5,-9.526315789473685
26,70,1.5,-12.68421052631579,3.5,-8.473684210526317
26,82,1.5,-12.68421052631579,4.5,-16.894736842105264
26,84,1.5,-12.68421052631579,4.5,-14.789473684210527
26,85,1.5,-12.68421052631579,4.5,-13.736842105263158
26,86,1.5,-12.68421052631579,4.5,-12.68421052631579
26,91,1.5,-12.68421052631579,4.5,-7.421052631578949
26,92,1.5,-12.68421052631579,4.5,-6.368421052631579
27,21,1.5,-11.631578947368421,1.5,-17.94736842105263
27,22,1.5,-11.631578947368421,1.5,-16.894736842105264
27,25,1.5,-11.631578947368421,1.5,-13.736842105263158
27,30,1.5,-11.631578947368421,1.5,-8.473684210526317
27,44,1.5,-11.631578947368421,2.5,-14.789473684210527
27,49,1.5,-11.631578947368421,2.5,-9.526315789473685
27,68,1.5,-11.631578947368421,3.5,-10.578947368421053
27,76,1.5,-11.631578947368421,3.5,-2.157894736842106
27,80,1.5,-11.631578947368421,4.5,-19.0
27,84,1.5,-11.631578947368421,4.5,-14.789473684210527
27,87,1.5,-11.631578947368421,4.5,-11.631578947368421
28,23,1.5,-10.578947368421053,1.5,-15.842105263157894
28,26,1.5,-10.578947368421053,1.5,-12.68421052631579
28,41,1.5,-10.578947368421053,2.5,-17.94736842105263
28,43,1.5,-10.578947368421053,2.5,-15.842105263157894
28,44,1.5,-10.578947368421053,2.5,-14.789473684210527
28,46,1.5,-10.578947368421053,2.5,-12.68421052631579
28,47,1.5,-10.578947368421053,2.5,-11.631578947368421
28,48,1.5,-10.578947368421053,2.5,-10.578947368421053
28,70,1.5,-10.578947368421053,3.5,-8.473684210526317
28,83,1.5,-10.578947368421053,4.5,-15.842105263157894
28,88,1.5,-10.578947368421053,4.5,-10.578947368421053
29,13,1.5,-9.526315789473685,0.5,-5.315789473684211
29,16,1.5,-9.526315789473685,0.5,-2.157894736842106
29,23,1.5,-9.526315789473685,1.5,-15.842105263157894
29,24,1.5,-9.526315789473685,1.5,-14.789473684210527
29,26,1.5,-9.526315789473685,1.5,-12.68421052631579
29,32,1.5,-9.526315789473685,1.5,-6.368421052631579
29,42,1.5,-9.526315789473685,2.5,-16.894736842105264
29,48,1.5,-9.526315789473685,2.5,-10.578947368421053
29,49,1.5,-9.526315789473685,2.5,-9.526315789473685
29,50,1.5,-9.526315789473685,2.5,-8.473684210526317
29,52,1.5,-9.526315789473685,2.5,-6.368421052631579
29,64,1.5,-9.526315789473685,3.5,-14.789473684210527
29,67,1.5,-9.526315789473685,3.5,-11.631578947368421
29,69,1.5,-9.526315789473685,3.5,-9.526315789473685
29,77,1.5,-9.526315789473685,3.5,-1.1052631578947363
29,84,1.5,-9.526315789473685,4.5,-14.789473684210527
